PR20;TR;BGF;Inv;UNA;TSS
0.22;0.5;0.5;2745267.593;85.733753;0.92
0.23;0.53;0.3;2170195.781;79.76164063;0.53
0.39;0.43;0.6;3378850.952;92.5941454;0.77
0.47;0.59;0.55;3238276.985;43.93455616;0.97
0.41;0.42;0.23;1946245.251;62.9257972;-0.34
0.37;0.4;0.25;1460361.696;90.14852735;0.7
0.39;0.61;0.38;3321510.65;91.13463303;0.1
0.27;0.16;0.26;1230885.547;46.0716141;0.6
0.36;0.27;0.5;2665744.384;51.87872637;0.86
0.33;0.6;0.4;2122849.938;83.50307924;0.72
0.25;0.44;0.17;928812.1181;61.99973558;0.62
0.2;0.55;0.34;2003747.422;53.04024283;0.07
0.3;0.11;0.16;845596.5423;82.23108774;-0.01
0.24;0.33;0.44;3957573.856;72.41053699;0.6
0.27;0.55;0.14;790628.589;65.57687776;0.66
0.19;0.51;0.39;3122596.431;85.25781423;0.94
0.08;0.46;0.22;1277323.078;46.27912;0.21
0.4;0.39;0.17;1287567.165;51.59818287;0.81
-0.02;0.22;0.14;826641.7921;83.84515318;0.32
0.41;0.16;0.34;2271971.212;111.1949939;0.84
0.69;0.5;0.44;2522703.254;42.57316567;0.68
0.23;0.38;0.27;2008816.023;71.36575422;0.77
0.44;0.46;0.24;2031220.539;77.85322932;0.8
0.46;0.49;0.42;2173723.671;83.30271838;-0.37
0.37;0.33;0.47;3970862.565;89.61920255;0.73
0.67;0.46;0.32;2674869.463;91.03944112;0.87
0.1;0.36;0.26;2038916.664;82.01631637;0.95
0.35;0.23;0.43;3309831.412;102.629281;0.92
0.45;0.4;0.4;2106955.742;96.7324573;0.96
0.42;0.45;0.56;2935046.462;109.1691979;0.93
0.28;0.27;0.28;1462858.68;71.77722826;0.29
0.22;0.43;0.17;799259.3383;91.41043102;0.85
0.35;0.54;0.3;2163822.559;102.6292553;0.96
0.15;0.47;0.36;2655939.414;80.23322131;0.93
0.32;0.41;0.28;1955054.836;67.15493238;0.9
0.24;0.43;0.21;1446306.547;68.2166487;0.66
