sim;PR2;PR5;PR10;PR20;TR;PHI;Temp;BGF;Inv;Maint;UNA;GA;CO2;TSS;TP;TN;Cu;Pb;Zn
sim35;0.4;0.33;0.34;0.35;0.32;0.32;0.0016;0.36;2032959.31;116649.8868;63.28069692;1518.685954;2962.500887;0.8;0.78;0.78;0.78;0.8;0.8
sim36;0.38;0.36;0.37;0.38;0.46;0.41;0.002;0.27;2054178.219;119050.5841;68.54111593;1551.530699;1295.426741;-0.4;-0.8;-0.64;-0.6;-0.41;-0.4
sim37;0.3;0.22;0.21;0.29;0.25;0.23;0.0016;0.19;1500192.97;83093.47013;75.28935387;1133.244312;759.9892944;0.7;0.67;0.68;0.68;0.7;0.7
sim38;0.44;0.34;0.33;0.44;0.24;0.25;0.0008;0.15;881443.0641;43924.92542;66.29872775;602.6624616;489.1031029;0.42;0.18;0.29;0.3;0.41;0.42
sim39;0.37;0.36;0.4;0.36;0.31;0.3;0.002;0.36;2035462.559;117339.6753;72.60210896;1556.562723;3041.039009;0.48;0.41;0.44;0.44;0.48;0.48
sim40;0.32;0.33;0.35;0.32;0.53;0.52;0.002;0.33;1559441.647;84940.85805;70.44365869;1121.430218;2231.787112;0.73;0.58;0.65;0.66;0.73;0.74
sim41;0.62;0.52;0.49;0.58;0.49;0.39;0.0023;0.29;2000248.991;117757.986;76.23021847;1583.401567;1413.051576;0.97;0.97;0.96;0.96;0.97;0.97
sim42;0.32;0.19;0.18;0.28;0.3;0.3;0.0012;0.09;745913.9185;41699.68921;38.75250368;573.8321319;368.1244718;-3.56;-3.56;-3.56;-3.56;-3.56;-3.56
sim43;0.14;0.13;0.16;0.15;0.39;0.39;0.0012;0.15;834940.9283;42906.33039;64.57519065;608.9562566;500.3910316;0.8;0.65;0.72;0.73;0.8;0.8
sim44;0.4;0.34;0.36;0.37;0.47;0.43;0.0016;0.15;720634.3208;40637.39842;55.88283867;590.6319361;1130.566628;0.53;0.53;0.53;0.53;0.53;0.53
sim45;0.51;0.44;0.41;0.49;0.53;0.5;0.0016;0.28;1041895.972;47782.5439;113.5523109;690.3986901;1376.159192;0.84;0.8;0.82;0.82;0.84;0.84
sim46;0.41;0.31;0.33;0.38;0.44;0.41;0.0027;0.56;3164729.065;190052.54;62.45135498;2468.069502;4934.625335;0.91;0.9;0.9;0.9;0.91;0.91
sim47;0.43;0.36;0.31;0.42;0.27;0.27;0.0023;0.44;2988042.282;163523.2421;106.6550189;2084.878748;1704.831543;0.55;0.19;0.33;0.36;0.54;0.55
sim48;0.29;0.26;0.28;0.28;0.33;0.32;0.002;0.5;2739037.502;154408.0993;98.59893959;2024.615588;3894.605141;0.76;0.73;0.74;0.74;0.76;0.76
sim49;0.13;0.04;0.06;0.06;0.49;0.48;0.0012;0.23;1249726.2;74416.8586;39.88517881;990.610538;1955.301508;0.44;0.44;0.44;0.44;0.44;0.44
sim50;0.52;0.43;0.44;0.47;0.46;0.43;0.0012;0.3;1435923.931;78148.29906;78.0207148;1052.144561;2099.97411;0.74;0.63;0.68;0.69;0.74;0.74
sim51;0.43;0.22;0.18;0.25;0.68;0.64;0.0016;0.3;2611222.304;151883.0861;69.40158077;1979.787233;1362.043511;0.9;0.9;0.89;0.89;0.9;0.9
sim52;0.44;0.45;0.5;0.44;0.36;0.34;0.0023;0.56;3269854.64;192793.6138;53.6425063;2456.565779;4848.906586;0.07;0.03;0.04;0.04;0.07;0.07
sim53;0.16;0.06;0.07;0.11;0.26;0.25;0.0012;0.18;798881.5421;42833.19886;69.18024499;622.7215751;1203.241976;0.68;0.63;0.65;0.65;0.67;0.68
sim54;0.35;0.33;0.34;0.34;0.44;0.41;0.0027;0.44;3933822.476;232322.4012;90.58259107;3013.974665;2183.987653;0.91;0.91;0.88;0.88;0.92;0.91
sim55;0.46;0.46;0.48;0.45;0.5;0.46;0.0031;0.5;2663230.176;156352.3977;102.7184842;2097.545572;4158.770268;0.92;0.91;0.91;0.91;0.92;0.92
sim56;0.29;0.24;0.25;0.28;0.25;0.23;0.0012;0.11;788009.323;41725.93508;70.43709452;608.987668;433.0560209;0.91;0.9;0.9;0.9;0.91;0.91
sim57;0.52;0.48;0.51;0.51;0.4;0.39;0.0016;0.3;1545599.332;84572.15577;67.75355371;1107.84009;2157.452278;0.37;0.34;0.35;0.35;0.36;0.37
sim58;0.4;0.31;0.3;0.37;0.41;0.38;0.0012;0.3;1588692.996;81898.98684;109.0325589;1133.316409;991.0709919;0.76;0.74;0.75;0.75;0.76;0.76
sim59;0.37;0.36;0.4;0.35;0.45;0.43;0.0016;0.17;783236.6417;41908.00537;57.62008725;596.1806018;1134.46433;0.34;0.33;0.33;0.33;0.34;0.34
sim60;0.1;0.08;0.09;0.08;0.51;0.48;0.0031;0.47;2679327.509;156715.6074;81.38180424;2052.321087;4082.965287;0.94;0.91;0.92;0.92;0.94;0.94
sim61;0.57;0.49;0.5;0.54;0.63;0.57;0.0012;0.35;1605491.575;81464.32871;101.1935368;1084.51639;2122.777435;-0.37;-0.76;-0.58;-0.55;-0.38;-0.36
sim62;0.32;0.29;0.29;0.33;0.72;0.63;0.0023;0.39;3194376.981;190214.9354;83.99958998;2517.047403;1866.379139;0.67;0.67;0.65;0.65;0.67;0.67
sim63;0.43;0.36;0.41;0.42;0.27;0.27;0.0027;0.46;3986444.428;233807.3597;70.52009184;2976.858933;2146.168702;0.55;0.46;0.47;0.48;0.56;0.55
sim64;0.03;0;0.01;0.05;0.42;0.38;0.0023;0.29;2621244.461;156718.0631;66.28756469;2047.262907;1544.143857;0.73;0.69;0.69;0.7;0.73;0.73
sim65;0.32;0.24;0.22;0.32;0.33;0.3;0.0012;0.19;1280138.806;75212.81942;54.3959476;1016.913508;890.6987058;0.64;0.47;0.54;0.56;0.64;0.64
sim66;0.24;0.22;0.25;0.24;0.53;0.48;0.0016;0.23;2017036.713;117302.7175;47.56347273;1515.515784;1068.29984;0.68;0.67;0.67;0.67;0.68;0.68
sim67;0.22;0.21;0.25;0.22;0.4;0.36;0.0023;0.49;3998170.577;234413.7145;72.38717453;2976.850655;2267.387994;0.79;0.5;0.6;0.62;0.79;0.79
sim68;0.29;0.28;0.32;0.26;0.44;0.39;0.0023;0.41;2112509.705;118745.6101;96.7309186;1589.675239;3126.220695;0.92;0.83;0.87;0.87;0.92;0.92
sim69;0.59;0.54;0.53;0.59;0.43;0.43;0.0023;0.59;3337968.646;194386.6583;60.01176691;2462.874033;4922.534126;0.89;0.88;0.88;0.88;0.89;0.89
