PC;Explained Variance (%);Cumulative Variance (%)
1;38.80599272249667;38.80599272249667
2;32.288328203446696;71.09432092594336
3;16.63039251292225;87.7247134388656
4;4.537025370703453;92.26173880956907
5;2.5984064769657755;94.86014528653483
6;1.7492495317060346;96.60939481824087
7;1.3849686202554863;97.99436343849635
8;0.8019124584607654;98.79627589695713
9;0.5297001290069747;99.3259760259641
10;0.4240367870650992;99.75001281302919
11;0.12526222409777354;99.87527503712697
12;0.059958182102499646;99.93523321922947
13;0.04900192010696573;99.98423513933643
14;0.011644108156832427;99.99587924749326
15;0.0015836200935559958;99.99746286758682
16;0.001421175941041732;99.99888404352785
17;0.0011159056391571544;99.99999994916702
18;5.0832964424455196e-08;99.99999999999997
