Simulation #;Peak Flow (m³/s);Total Runoff Volume (m³);Simulation Time (s)
1;0.10480711254457677;49818.2264735836;645.2376186847687
2;0.11708023258308022;65795.02442037842;1079.139607667923
3;0.12818271807909865;66056.1165000677;1350.0996901988983
