Sim;1;2;3;4;5;6;7;8;9;10;11;Mean
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;95.07040651177503;105.67183449132445;104.95454186139942;98.92724401099315;113.13412697483236;117.42784542477612;112.52759805213913;102.53022859221363;100.41776815229389;106.23351151655672;101.87376318164814;105.34262443363201
2;75.70907853626363;83.30849796316008;82.1050699308127;76.68022523105299;89.07480631384604;92.26304769970187;88.20182524928012;81.67306861909464;79.13903976742859;82.71047261773263;79.2978268490829;82.74208716158692
3;67.46453950299114;74.10323374541902;72.31310781636121;67.3739705600312;79.0656379187928;81.6450865108855;77.83103249083223;72.61280579523789;70.31810102306218;73.27903805473059;69.37212711999602;73.21624368530362
4;92.49270986256938;101.35242557941031;95.46360328509577;88.3014665109902;107.30846826040728;109.62365719213497;103.47155744472686;100.37747529674927;94.25476474455095;97.61311924195878;90.86692254812601;98.28419726970179
5;103.57296391443913;104.60964154431662;109.40507676437517;94.20920612226618;113.2384435401894;119.42891347172174;116.10023114247662;107.254509267444;108.39683061995501;101.7284260218492;101.27307597531086;107.20157439857672
6;73.49043857127769;78.41512773337449;78.1349605487846;70.56625874617907;83.94568319540085;87.2001279660085;83.66585111757334;78.42116479485767;76.30756195711874;76.47642794380856;74.15882874398956;78.25294830167027
7;100.242920093909;107.62718876612215;107.91823626019962;98.47511448372603;115.47446081415437;120.22635636278291;115.50302633873973;106.77464401222473;104.91895786650475;106.31389181048175;102.88658604135207;107.85103480456337
8;101.62449688168;107.82121090589071;109.18450390706897;98.34829381890964;115.86553352968778;120.96659434999505;116.56910450217326;107.64715564988539;106.45812690258761;106.1369148046324;103.4634145898402;108.5532136220319
9;73.5062560569114;71.00235576553682;79.33635785123792;65.6233611323989;77.93234943127514;83.85794185816113;83.06442665565598;74.16156842384135;78.36890712778666;69.63348325995509;72.49337269250545;75.36185275047872
10;87.24927346444679;88.07271031966806;90.62100991691415;77.49631339555123;94.9339240199926;99.59316570975574;96.4124984221029;90.67136647750317;90.48099484220444;84.46484255623616;83.38930802992273;89.39867337766344
11;86.34585443723773;99.37521875530844;97.99293329348521;95.35895796937896;106.25135736070267;110.05181552624069;105.24414893412876;94.74093653507585;91.7480500897723;101.3595047139531;97.31722521202673;98.70781843884639
12;106.40029614785452;111.98778190005513;111.46089349493327;99.66598272193438;119.98285450242489;124.6569469472727;119.49091801788751;112.6333276697711;110.16564160627232;108.77976960110453;104.67582817455788;111.80911279855167
13;65.94271022136158;72.96951351606299;76.14126133121488;71.69611240500039;78.96826110610253;83.21321233457434;80.85109385770178;70.43013794295759;71.40556636738701;75.28546078148797;74.54862864180456;74.6774507732414
14;34.91002475148074;41.135384173154996;38.36276440225343;38.1162660620688;43.488737174556654;44.2992131183499;41.68916270173626;38.95362655677536;36.332142928604966;41.308173237200165;38.183891117101695;39.70721692938937
15;90.64762888581483;94.53229582775032;88.65294058009061;77.7426639475525;99.99019272204536;102.01842591623351;96.16190780726755;96.38939094626134;90.89439339111917;88.09451375080297;81.11029635548977;91.47587728458434
16;60.72435002845893;77.47178350005241;69.36252321995073;73.9851547898551;81.3206700204528;81.87283725197123;76.11817135888865;70.45036266749018;63.5145630802734;79.6427519333723;71.98287862046931;73.31327695193046
17;60.09709836807536;66.1846098748044;64.0505179494802;59.72514086393016;70.48085494560327;72.59728273337606;69.05093071895972;65.1358880409171;62.15566169698793;64.92680093965329;61.68128577995267;65.0987338101582
18;69.16295036345592;82.38955350405774;77.10072028538184;77.37808415278634;87.19479174623095;88.92432861599426;83.7539424225519;77.4133993029745;72.44245622590475;83.47965848373079;77.27553914509993;79.68322038619716
19;77.41312805534616;79.26548830370535;83.81410667830608;73.49908581366506;86.0659156499352;91.10163995693226;88.8067068694392;80.37449727307339;81.89054653020021;78.47750876442574;78.61445510372758;81.75664354534148
20;84.26758851588114;80.53784891787191;83.91412682672521;67.48240769546894;87.02016786279574;91.64116957666224;89.02983124385537;85.79327159590807;86.29355773737167;74.74491824422694;74.46103044776171;82.28962896950263
21;99.83230204875122;98.9302097382176;98.9742528630921;82.24841480589896;105.91027735262432;110.11568853607248;105.79689530963992;103.27051026792914;101.68457822066983;92.08194207482995;88.69816058054147;98.86756652711519
22;83.60852424447893;85.30852817258486;79.2367971324064;67.38651718113651;89.98752178910158;91.51792337077129;86.05633098113483;88.43371885808136;82.7865589708093;77.56169641566933;71.02664075903068;82.0827961704732
23;51.08296243547326;51.16498402247761;62.01321028832139;54.024435002064244;57.27457000176288;63.22904518105603;64.0149225559732;51.49300455231196;57.581105803834355;54.229610336217405;59.42400390629995;56.86653218961749
24;59.35069820196041;66.9066264348541;63.8634531308896;60.96952630920137;71.0745748494849;72.91181259830336;69.06549206975177;64.78201975636996;61.65261241204327;66.37718269579513;62.055681657000605;65.3645163741504
25;80.55429667766545;88.07508752455371;75.74133034951517;69.23385482659037;91.57342457031795;91.05832197159819;83.70671078834104;88.36269656519123;78.47003954007205;80.54475880751043;70.02609077968967;81.5769647637314
26;58.144797465233566;59.93669140150523;56.52157457118598;48.75157947817795;63.41293796620523;64.78259494643818;61.18979061467482;61.7633182146473;58.04537576226792;55.22544208138254;51.47165087925481;58.113250307361234
27;88.23063800863522;81.76089948038495;86.26320226694885;66.82640451592162;88.52326734217328;93.55458960594186;91.23412496988037;88.54439972637425;90.15564058911608;74.75422735218092;74.79703479007611;84.05858442251211
28;100.48148957788786;104.44569567539118;107.41950523037872;95.03765236809267;112.63543575684008;118.16880535833224;114.35334868231195;105.3589165275675;105.36300637309805;102.4905009159097;100.85060973293211;106.05499692715836
29;41.35542149221425;51.55604057001382;46.40513858151471;48.5169504352055;54.152752610046306;54.59188138810924;50.83986225225714;47.28918800597934;43.211601315408764;52.64285117088966;47.34741641830918;48.900827658177086
30;60.49551163738766;70.77326775961967;68.35390543231019;67.53052250231588;75.3771480904273;77.59742222928237;73.75274361693;66.82549659400964;64.10883483472685;72.2660723714444;68.1184312579238;69.56357784785251
31;99.07842810474845;101.43995000612104;102.35914626578274;88.66586637674324;108.89388524058299;113.56199049167054;109.33106812974667;103.78289745715655;102.23502547587829;97.11488456499833;94.60028447236033;101.91485696234446
32;72.64848375044973;89.7034438080144;77.5589697505416;80.3796109199862;93.44836800783685;93.08819424492754;85.69540947169985;83.530073428461;73.79632206996904;88.90176029038804;78.27464492730655;83.36593460632552
33;63.669858003839785;70.49697676484634;60.97335396914302;56.71824407029107;73.41810058797465;73.14842588001999;67.3389921974863;70.10662453983431;62.43635722168581;65.35138584815624;57.086830402207696;65.5222863168623
34;56.779393296889886;60.62191235462525;65.61442221368249;59.960451711724616;66.13035274874014;70.4771619065421;69.17758177184731;59.5939660849515;61.77807621393738;62.45421579438032;63.50013198848955;63.28069691689186
35;76.47555070627352;67.59037784844071;69.487966242605;49.97083979440709;72.7699237381265;76.31183508615739;73.86733436854966;75.94439177073613;75.92779422926084;58.27639140208085;57.329869993787156;68.54111592549317
36;70.93248885444746;74.38956220493208;75.95959669094044;67.91367604629062;80.14813084853404;83.92250031442845;81.02180463292216;74.52617752177208;74.47393117154904;73.37145490279096;71.52356937753174;75.289353869649
37;63.56286837519595;65.34265872866114;67.18817234957973;58.59597863954282;70.41566530138874;73.84964569415212;71.48553853714269;66.51793498857758;66.28571626638252;63.407671004929924;62.634155379452125;66.29872775136414
38;70.36408424279605;72.32284178238925;72.91648297203278;63.35695384467961;77.59869113500291;80.88352485733687;77.8644208454376;73.53766929562296;72.93418708639442;69.59319642126125;67.25114610797846;72.60210896281203
39;66.91441016886075;73.01248221839131;68.05704715461613;62.69983497106681;77.14665515164407;78.5714679115536;73.93477799232906;72.60309901273294;67.72289801845277;69.77154481089283;64.44602823241691;70.44365869481429
40;68.7970098248032;81.54081549356133;71.4451397078918;71.13825464270572;85.10262854032393;85.07922164089773;78.65011240396154;77.69882762341656;69.39991140560124;79.3124953870533;70.36798652253056;76.23021847206792
41;34.22051243194018;39.208224772918314;38.32682319636079;37.07614265558913;41.8347774490844;43.210682142591224;41.22484122602604;37.47694817275858;36.19525307571533;39.70421210246833;37.79912324834564;38.752503679436174
42;63.04512133468697;60.897564244017445;67.96067810461116;56.152740392622654;66.80068580960236;71.84058064690323;71.14911477757134;63.599263612472356;67.19549128003547;59.65867197669273;62.027184947506655;64.57519064788386
43;55.521956635427365;55.02045489963135;56.67731741636152;47.50602943689826;59.30361273190484;62.231391578550536;60.27040341777865;57.37816018397913;57.182345476419016;52.06848013229844;51.551073510983564;55.8828386745666
44;99.45805646918099;112.15996774970365;114.7221436897656;109.70285829483538;120.83436718877235;126.54314930133619;122.28210219579255;107.51270450038817;107.13266930718746;115.47887461726873;113.24852653278492;113.55231089518325
45;48.559588668676895;63.42873860934942;61.34725856978202;66.36597440116478;67.65027368448817;69.70023285310806;66.25193452144902;56.20771037638302;53.507062962367954;68.68876191854312;65.25736819496417;62.45135497820697
46;90.7507758274557;109.13844727580576;104.24202360139583;105.45065047751197;115.96172917382994;118.97282743821833;112.73296160872097;101.77753284586142;96.31080911732911;112.25436576911468;105.6130844827693;106.65501887436481
47;95.46955454879773;101.4965468245484;95.9926663075727;85.92419992819345;107.50763838664824;109.94577950486085;103.91206814347473;102.34757941147373;96.55612494950067;95.99178221246606;89.44439527212432;98.59893958996918
48;34.87589990481534;38.34698120878686;41.27676817958253;38.665016733298124;41.751290151048984;44.40009560561492;43.53424946274009;36.95192131639959;38.331951098957255;40.11067888541131;40.492114358390324;39.88517880954957
49;77.58707095672476;76.38645201736657;79.45677011540496;66.34312436670777;82.55356539225842;86.9056701952173;84.36853580604937;79.54276004509728;80.41883409188311;72.77450654780779;71.89057322257943;78.02071479609971
50;62.42756263506561;71.31630728820836;67.52356489707886;65.31527024445974;75.64555327921937;77.4231477477681;73.1658418962209;68.80437227138965;64.65137309094347;70.8352192957748;66.30917582488135;69.40158077009184
51;50.634235296764025;51.315124332317026;55.62302058583279;48.42514247021421;56.02534786014746;59.75821478051315;58.65496278407865;52.154197810190624;54.0759860456019;51.248200782991034;52.15313654589417;53.64250629950409
52;64.74685293995347;70.79964433796215;67.66855753718418;62.56909499000822;75.18331893411765;77.14233628364995;73.12054918732835;70.07514982688298;66.40939159002838;68.67050961568978;64.5972896938601;69.1802449942423
