sim_number;total_TR;total_PRE;total_EVA;total_INF;2yr;5yr;10yr;20yr
sim130;47551.21;24548.6;6781.32;9684.57;0.033;0.053;0.066;0.08
sim131;47432.72;24548.6;5504.32;11139.47;0.047;0.068;0.084;0.11
sim132;53546.19;24548.6;4228.44;11757.51;0.039;0.056;0.074;0.087
sim133;67961.0;24548.6;3297.42;10334.64;0.056;0.082;0.103;0.132
sim134;72190.54;24548.6;2790.81;10286.0;0.056;0.081;0.103;0.129
sim135;44215.41;24548.6;5504.52;11918.51;0.025;0.043;0.053;0.058
sim136;55157.36;24548.6;3522.36;12227.1;0.041;0.067;0.09;0.108
sim137;46343.33;24548.6;6636.26;10042.87;0.037;0.058;0.072;0.089
sim138;43641.53;24548.6;5784.71;11410.7;0.034;0.056;0.068;0.085
sim139;59068.87;24548.6;4327.45;10594.17;0.046;0.071;0.089;0.114
sim140;48754.99;24548.6;5615.0;10791.16;0.038;0.059;0.075;0.09
sim141;57179.1;24548.6;4115.2;11305.48;0.04;0.064;0.08;0.096
sim142;69307.08;24548.6;2816.58;10719.63;0.057;0.082;0.103;0.131
sim143;53474.41;24548.6;4441.58;11354.24;0.045;0.066;0.085;0.103
sim144;47629.79;24548.6;4248.12;12670.06;0.032;0.062;0.082;0.093
sim145;63882.27;24548.6;3371.72;10894.94;0.051;0.081;0.098;0.129
sim146;53432.0;24548.6;4274.76;11716.54;0.034;0.054;0.073;0.08
sim147;41207.18;24548.6;6886.5;10570.83;0.03;0.046;0.059;0.071
sim148;47118.2;24548.6;4505.79;12297.69;0.041;0.063;0.085;0.093
sim149;54390.27;24548.6;4662.89;10960.27;0.04;0.062;0.078;0.093
sim150;49465.46;24548.6;5381.13;11228.36;0.028;0.045;0.062;0.066
